stop_frame,all_noun_classes,all_nouns
P01_102_10053.jpg,0,tap
P01_102_10082.jpg,0,tap
P01_102_10481.jpg,14,fork
P01_102_10628.jpg,14,fork
P01_102_10756.jpg,14,fork
P01_102_10808.jpg,14,fork
P01_102_11054.jpg,17,cloth
P01_102_11110.jpg,21,container
P01_102_11156.jpg,21,container
P01_102_11290.jpg,10,glass
P01_102_1157.jpg,20,spatula
P01_102_11774.jpg,6,lid
P01_102_11918.jpg,11,hand
P01_102_11999.jpg,17,cloth
P01_102_12037.jpg,11,hand
P01_102_12085.jpg,11,hand
P01_102_12125.jpg,0,tap
P01_102_12316.jpg,11,hand
P01_102_12336.jpg,11,hand
P01_102_12543.jpg,0,tap
P01_102_12903.jpg,11,hand
P01_102_12930.jpg,11,hand
P01_102_13210.jpg,6,lid
P01_102_13232.jpg,"6,21","lid,container"
P01_102_13366.jpg,6,lid
P01_102_13501.jpg,21,container
P01_102_13538.jpg,12,fridge
P01_102_13573.jpg,"21,12","container,fridge"
P01_102_13628.jpg,12,fridge
P01_102_1491.jpg,20,spatula
P01_102_1512.jpg,4,knife
P01_102_1705.jpg,4,knife
P01_102_1879.jpg,4,knife
P01_102_1903.jpg,14,fork
P01_102_2005.jpg,14,fork
P01_102_2097.jpg,14,fork
P01_102_2141.jpg,2,plate
P01_102_2178.jpg,0,tap
P01_102_2215.jpg,0,tap
P01_102_2410.jpg,2,plate
P01_102_2642.jpg,2,plate
P01_102_2751.jpg,4,knife
P01_102_2763.jpg,4,knife
P01_102_2818.jpg,2,plate
P01_102_3484.jpg,0,tap
P01_102_3532.jpg,11,hand
P01_102_3576.jpg,20,spatula
P01_102_3722.jpg,20,spatula
P01_102_4030.jpg,20,spatula
P01_102_413.jpg,20,spatula
P01_102_4237.jpg,20,spatula
P01_102_4315.jpg,14,fork
P01_102_4369.jpg,14,fork
P01_102_4464.jpg,14,fork
P01_102_4544.jpg,4,knife
P01_102_4593.jpg,4,knife
P01_102_4708.jpg,4,knife
P01_102_5399.jpg,0,tap
P01_102_5414.jpg,0,tap
P01_102_5475.jpg,2,plate
P01_102_5527.jpg,0,tap
P01_102_5591.jpg,2,plate
P01_102_5639.jpg,2,plate
P01_102_5665.jpg,2,plate
P01_102_5728.jpg,0,tap
P01_102_575.jpg,4,knife
P01_102_5843.jpg,2,plate
P01_102_6199.jpg,9,sponge
P01_102_69.jpg,"4,2","knife,plate"
P01_102_710.jpg,2,plate
P01_102_7806.jpg,0,tap
P01_102_7849.jpg,11,hand
P01_102_8099.jpg,9,sponge
P01_102_821.jpg,9,sponge
P01_102_8688.jpg,9,sponge
P01_102_9170.jpg,17,cloth
P01_102_9266.jpg,17,cloth
P01_102_9486.jpg,17,cloth
P01_102_9641.jpg,17,cloth
P01_102_9823.jpg,9,sponge
P01_102_9880.jpg,9,sponge
P01_102_9885.jpg,17,cloth
P01_102_9946.jpg,9,sponge
P01_102_9989.jpg,17,cloth
P02_108_10014.jpg,1,spoon
P02_108_10145.jpg,"1,7","spoon,bowl"
P02_108_10207.jpg,1,spoon
P02_108_10617.jpg,0,tap
P02_108_10745.jpg,0,tap
P02_108_11098.jpg,10,glass
P02_108_11211.jpg,10,glass
P02_108_11734.jpg,10,glass
P02_108_11843.jpg,10,glass
P02_108_11931.jpg,3,cupboard
P02_108_12004.jpg,10,glass
P02_108_12062.jpg,3,cupboard
P02_108_12135.jpg,10,glass
P02_108_12241.jpg,11,hand
P02_108_12457.jpg,7,bowl
P02_108_12619.jpg,6,lid
P02_108_13194.jpg,8,drawer
P02_108_15425.jpg,10,glass
P02_108_15619.jpg,10,glass
P02_108_15733.jpg,10,glass
P02_108_16263.jpg,10,glass
P02_108_16556.jpg,10,glass
P02_108_16703.jpg,10,glass
P02_108_16916.jpg,10,glass
