id,label,freq,threshold,tp,fn,fp,precision,recall,f1
0,bowl,0.12,0.001,204,15,1452,0.12318840579710146,0.9315068493150684,0.2176
19,tap,0.12,0.0,213,0,1608,0.11696869851729819,1.0,0.20943952802359883
14,pan,0.09,0.007,86,81,693,0.110397946084724,0.5149700598802395,0.18181818181818182
12,meat,0.06,0.028,24,90,169,0.12435233160621761,0.21052631578947367,0.1563517915309446
16,spatula,0.08,0.011,85,61,861,0.08985200845665962,0.5821917808219178,0.15567765567765568
18,spoon,0.08,0.007,125,16,1350,0.0847457627118644,0.8865248226950354,0.1547029702970297
3,cupboard,0.08,0.004,71,68,712,0.09067688378033206,0.5107913669064749,0.1540130151843818
5,drawer,0.07,0.025,35,95,310,0.10144927536231885,0.2692307692307692,0.14736842105263157
4,dough,0.06,0.017,54,50,632,0.07871720116618076,0.5192307692307693,0.13670886075949368
17,sponge,0.07,0.0,126,0,1695,0.06919275123558484,1.0,0.12942989214175654
10,knife,0.06,0.002,67,51,859,0.07235421166306695,0.5677966101694916,0.12835249042145594
9,hand,0.05,0.019,63,27,1094,0.05445116681071737,0.7,0.10104250200481155
15,plate,0.04,0.032,12,58,156,0.07142857142857142,0.17142857142857143,0.10084033613445378
11,lid,0.04,0.068,16,52,298,0.050955414012738856,0.23529411764705882,0.08376963350785341
13,onion,0.02,0.541,2,34,20,0.09090909090909091,0.05555555555555555,0.06896551724137931
8,glass,0.03,0.125,5,52,88,0.053763440860215055,0.08771929824561403,0.06666666666666667
7,fridge,0.02,0.015,7,30,192,0.035175879396984924,0.1891891891891892,0.059322033898305086
1,cloth,0.02,0.129,2,29,39,0.04878048780487805,0.06451612903225806,0.05555555555555555
6,fork,0.02,0.019,12,30,391,0.02977667493796526,0.2857142857142857,0.05393258426966292
2,container,0.01,0.012,3,22,135,0.021739130434782608,0.12,0.03680981595092025
