id,label,freq,threshold,tp,fn,fp,precision,recall,f1
0,bowl,0.12,0.0,219,0,1600,0.12039582188015394,1.0,0.21491658488714427
19,tap,0.12,0.0,213,0,1606,0.1170973062122045,1.0,0.20964566929133857
14,pan,0.09,0.0,167,0,1652,0.09180868609125893,1.0,0.16817724068479356
16,spatula,0.08,0.02,46,100,403,0.10244988864142539,0.3150684931506849,0.1546218487394958
18,spoon,0.08,0.0,141,0,1678,0.07751511819681144,1.0,0.14387755102040817
3,cupboard,0.08,0.0,139,0,1680,0.07641561297416163,1.0,0.14198161389172625
5,drawer,0.07,0.0,129,0,1690,0.07091808686091258,1.0,0.1324435318275154
17,sponge,0.07,0.0,126,0,1693,0.06926882902693787,1.0,0.12956298200514138
10,knife,0.06,0.0,118,0,1701,0.06487080813633865,1.0,0.12183789364997419
12,meat,0.06,0.0,114,0,1705,0.06267179769103903,1.0,0.11795137092602173
4,dough,0.06,0.0,104,0,1715,0.057174271577789995,1.0,0.10816432657306292
9,hand,0.05,0.0,90,0,1729,0.04947773501924134,1.0,0.09429020429544265
15,plate,0.04,0.03,39,31,924,0.040498442367601244,0.5571428571428572,0.0755082284607938
11,lid,0.04,0.0,68,0,1751,0.037383177570093455,1.0,0.07207207207207207
8,glass,0.03,0.01,16,40,456,0.03389830508474576,0.2857142857142857,0.06060606060606061
7,fridge,0.02,0.2,2,35,29,0.06451612903225806,0.05405405405405406,0.058823529411764705
6,fork,0.02,0.04,4,38,111,0.034782608695652174,0.09523809523809523,0.050955414012738856
13,onion,0.02,0.0,36,0,1783,0.019791094007696537,1.0,0.03881401617250674
1,cloth,0.02,0.0,31,0,1788,0.017042330951072018,1.0,0.03351351351351351
2,container,0.01,0.01,12,13,717,0.01646090534979424,0.48,0.03183023872679045
