id,label,freq,threshold,tp,fn,fp,precision,recall,f1
0,bowl,0.12,0.0,219,0,1600,0.12039582188015394,1.0,0.21491658488714427
19,tap,0.12,0.0,213,0,1606,0.1170973062122045,1.0,0.20964566929133857
14,pan,0.09,0.0,167,0,1652,0.09180868609125893,1.0,0.16817724068479356
16,spatula,0.08,0.0,146,0,1673,0.08026388125343595,1.0,0.1486005089058524
18,spoon,0.08,0.0,141,0,1678,0.07751511819681144,1.0,0.14387755102040817
3,cupboard,0.08,0.0,139,0,1680,0.07641561297416163,1.0,0.14198161389172625
17,sponge,0.07,0.03,58,68,634,0.0838150289017341,0.4603174603174603,0.14180929095354522
4,dough,0.06,0.02,37,67,405,0.083710407239819,0.3557692307692308,0.13553113553113552
5,drawer,0.07,0.0,129,0,1690,0.07091808686091258,1.0,0.1324435318275154
10,knife,0.06,0.14,30,88,342,0.08064516129032258,0.2542372881355932,0.12244897959183673
12,meat,0.06,0.0,114,0,1705,0.06267179769103903,1.0,0.11795137092602173
9,hand,0.05,0.0,90,0,1729,0.04947773501924134,1.0,0.09429020429544265
8,glass,0.03,0.06,8,48,131,0.05755395683453238,0.14285714285714285,0.08205128205128205
13,onion,0.02,0.08,3,33,41,0.06818181818181818,0.08333333333333333,0.075
15,plate,0.04,0.0,70,0,1749,0.038482682792743264,1.0,0.07411328745367919
11,lid,0.04,0.0,68,0,1751,0.037383177570093455,1.0,0.07207207207207207
7,fridge,0.02,0.01,3,34,80,0.03614457831325301,0.08108108108108109,0.05
6,fork,0.02,0.0,42,0,1777,0.02308960967564596,1.0,0.045137023105857065
1,cloth,0.02,0.03,2,29,71,0.0273972602739726,0.06451612903225806,0.038461538461538464
2,container,0.01,0.0,25,0,1794,0.013743815283122594,1.0,0.027114967462039046
