id,label,freq,threshold,tp,fn,fp,precision,recall,f1
0,bowl,0.12,0.0,219,0,1600,0.12039582188015394,1.0,0.21491658488714427
19,tap,0.12,0.0,213,0,1606,0.1170973062122045,1.0,0.20964566929133857
14,pan,0.09,0.0,167,0,1652,0.09180868609125893,1.0,0.16817724068479356
16,spatula,0.08,0.0,146,0,1673,0.08026388125343595,1.0,0.1486005089058524
18,spoon,0.08,0.0,141,0,1678,0.07751511819681144,1.0,0.14387755102040817
3,cupboard,0.08,0.0,139,0,1680,0.07641561297416163,1.0,0.14198161389172625
5,drawer,0.07,0.0,129,0,1690,0.07091808686091258,1.0,0.1324435318275154
17,sponge,0.07,0.0,126,0,1693,0.06926882902693787,1.0,0.12956298200514138
4,dough,0.06,0.09,26,78,281,0.08469055374592833,0.25,0.12652068126520682
12,meat,0.06,0.01,29,85,320,0.0830945558739255,0.2543859649122807,0.12526997840172785
10,knife,0.06,0.0,118,0,1701,0.06487080813633865,1.0,0.12183789364997419
9,hand,0.05,0.06,32,58,523,0.05765765765765766,0.35555555555555557,0.09922480620155039
15,plate,0.04,0.01,22,48,403,0.05176470588235294,0.3142857142857143,0.08888888888888889
11,lid,0.04,0.06,17,51,334,0.04843304843304843,0.25,0.081145584725537
8,glass,0.03,0.01,27,29,612,0.04225352112676056,0.48214285714285715,0.0776978417266187
7,fridge,0.02,0.01,10,27,261,0.03690036900369004,0.2702702702702703,0.06493506493506493
13,onion,0.02,0.04,4,32,94,0.04081632653061224,0.1111111111111111,0.05970149253731343
6,fork,0.02,0.03,7,35,259,0.02631578947368421,0.16666666666666666,0.045454545454545456
1,cloth,0.02,0.04,2,29,80,0.024390243902439025,0.06451612903225806,0.035398230088495575
2,container,0.01,0.0,25,0,1794,0.013743815283122594,1.0,0.027114967462039046
