id,label,freq,threshold,tp,fn,fp,precision,recall,f1
0,bowl,0.12,0.0,219,0,1600,0.12039582188015394,1.0,0.21491658488714427
19,tap,0.12,0.0,213,0,1606,0.1170973062122045,1.0,0.20964566929133857
14,pan,0.09,0.01,126,41,1154,0.0984375,0.7544910179640718,0.1741534208707671
16,spatula,0.08,0.0,146,0,1673,0.08026388125343595,1.0,0.1486005089058524
18,spoon,0.08,0.0,141,0,1678,0.07751511819681144,1.0,0.14387755102040817
3,cupboard,0.08,0.07,35,104,315,0.1,0.2517985611510791,0.14314928425357873
5,drawer,0.07,0.0,129,0,1690,0.07091808686091258,1.0,0.1324435318275154
17,sponge,0.07,0.0,126,0,1693,0.06926882902693787,1.0,0.12956298200514138
10,knife,0.06,0.06,36,82,433,0.0767590618336887,0.3050847457627119,0.12265758091993186
12,meat,0.06,0.0,114,0,1705,0.06267179769103903,1.0,0.11795137092602173
4,dough,0.06,0.0,104,0,1715,0.057174271577789995,1.0,0.10816432657306292
9,hand,0.05,0.01,50,40,831,0.056753688989784334,0.5555555555555556,0.10298661174047374
8,glass,0.03,0.08,8,48,131,0.05755395683453238,0.14285714285714285,0.08205128205128205
15,plate,0.04,0.0,70,0,1749,0.038482682792743264,1.0,0.07411328745367919
11,lid,0.04,0.0,68,0,1751,0.037383177570093455,1.0,0.07207207207207207
2,container,0.01,0.04,4,21,116,0.03333333333333333,0.16,0.05517241379310345
13,onion,0.02,0.14,2,34,50,0.038461538461538464,0.05555555555555555,0.045454545454545456
6,fork,0.02,0.0,42,0,1777,0.02308960967564596,1.0,0.045137023105857065
7,fridge,0.02,0.0,37,0,1782,0.02034084661902144,1.0,0.03987068965517242
1,cloth,0.02,0.01,4,27,184,0.02127659574468085,0.12903225806451613,0.0365296803652968
