id,label,freq,threshold,tp,fn,fp,precision,recall,f1
0,bowl,0.12,0.01,180,39,1260,0.125,0.821917808219178,0.21699819168173598
19,tap,0.12,0.0,213,0,1606,0.1170973062122045,1.0,0.20964566929133857
14,pan,0.09,0.01,85,82,701,0.10814249363867684,0.5089820359281437,0.1783840503672613
17,sponge,0.07,0.04,74,52,776,0.08705882352941176,0.5873015873015873,0.15163934426229508
16,spatula,0.08,0.0,146,0,1673,0.08026388125343595,1.0,0.1486005089058524
18,spoon,0.08,0.03,109,32,1227,0.0815868263473054,0.7730496453900709,0.14759647935003387
3,cupboard,0.08,0.0,139,0,1680,0.07641561297416163,1.0,0.14198161389172625
5,drawer,0.07,0.0,129,0,1690,0.07091808686091258,1.0,0.1324435318275154
10,knife,0.06,0.01,118,0,1690,0.06526548672566372,1.0,0.122533748701973
12,meat,0.06,0.0,114,0,1705,0.06267179769103903,1.0,0.11795137092602173
4,dough,0.06,0.0,104,0,1715,0.057174271577789995,1.0,0.10816432657306292
9,hand,0.05,0.0,90,0,1729,0.04947773501924134,1.0,0.09429020429544265
15,plate,0.04,0.14,27,43,534,0.0481283422459893,0.38571428571428573,0.08557844690966719
11,lid,0.04,0.19,15,53,298,0.04792332268370607,0.22058823529411764,0.07874015748031496
8,glass,0.03,0.02,15,41,356,0.04043126684636118,0.26785714285714285,0.0702576112412178
6,fork,0.02,0.01,33,9,1295,0.024849397590361446,0.7857142857142857,0.04817518248175182
2,container,0.01,0.07,3,22,108,0.02702702702702703,0.12,0.04411764705882353
7,fridge,0.02,0.0,37,0,1782,0.02034084661902144,1.0,0.03987068965517242
13,onion,0.02,0.8,1,35,14,0.06666666666666667,0.027777777777777776,0.0392156862745098
1,cloth,0.02,0.01,9,22,442,0.019955654101995565,0.2903225806451613,0.03734439834024896
